,#,num1,num2,num3,num4,num5
0,1,1,1,1,1,1
1,2,2,2,2,2,2
2,3,3,3,3,3,3
3,4,4,4,4,4,4
4,5,5,5,5,5,5
5,24324,24324,24324,24324,24324,24324
6,1,1,1,1,1,1
7,2,2,2,2,2,2
8,3,3,3,3,3,3
9,4,4,4,4,4,4
10,5,5,5,5,5,5
11,24324,24324,24324,24324,24324,24324
12,1,1,1,1,1,1
13,2,2,2,2,2,2
14,3,3,3,3,3,3
15,4,4,4,4,4,4
16,5,5,5,5,5,5
17,24324,24324,24324,24324,24324,24324
18,1,1,1,1,1,1
19,2,2,2,2,2,2
20,3,3,3,3,3,3
21,4,4,4,4,4,4
22,5,5,5,5,5,5
23,24324,24324,24324,24324,24324,24324
24,1,1,1,1,1,1
25,2,2,2,2,2,2
26,3,3,3,3,3,3
27,4,4,4,4,4,4
28,5,5,5,5,5,5
29,24324,24324,24324,24324,24324,24324
